turn,board_state,winner
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOOWOOOB', 'BOOBKOWBB', 'BOOWOWOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",BW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOOWOOOB', 'BOOBKOWBB', 'BOOWOWOOB', 'OOOOOWOOO', 'OOOOBOOOO', 'OOOOBBOOO']",BW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOOWOOOB', 'BOOBKOWBB', 'BOOWBWOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOBBOOO']",BW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOWOOOOB', 'BOOOKOWBB', 'BOOWBWOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOBBOOO']",BW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOWOOOOB', 'BOOOKOWBB', 'OOBOBWOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOBBOOO']",BW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOOOOOOB', 'BOOOKOWBB', 'OOBWOWOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOBBOOO']",BW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOOOOOOB', 'BOOOKOWBB', 'OOBOBWOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBWOOOO', 'BOOOOOOOB', 'BOOOKOWBB', 'OOBOOWOOB', 'OOOOWOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBOOOOO', 'OOOOBOOOB', 'BOOOKOWBB', 'OOBOOWOOB', 'OOOOWOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBOOOOO', 'OOOOBOWOB', 'BOOOKOOBB', 'OOBOOWOOB', 'OOOOWOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBOOOOO', 'OOOOBOWOB', 'BOOOKOOBB', 'OOOOBWOOB', 'OOOOOOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBOOOOO', 'OOOOBWOOB', 'BOOOKOOBB', 'OOOOBWOOB', 'OOOOOOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBOOOOO', 'OOOOBOBOO', 'BOOOKOOBB', 'OOOOBWOOB', 'OOOOOOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOBOWOOO', 'OOOOBOBOO', 'BOOOKOOBB', 'OOOOBOOOB', 'OOOOOOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
W,"['OOOOBBOOO', 'OOOOOBOOO', 'OOOBOWOOO', 'OOOOBOBOO', 'BOOOKOOBB', 'OOOOBOOOB', 'OOOOOOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
B,"['OOOOBBOOO', 'OOOOOBOOO', 'OOOBOWOOO', 'OOOOBOBOO', 'BOOKTOOBB', 'OOOOBOOOB', 'OOOOOOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
W,"['OOOOBBOOO', 'OOOOOBOOO', 'OOOBOWOOO', 'OOOOBOBOO', 'BOOKTOOBB', 'OOOBOOOOB', 'OOOOOOOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
B,"['OOOOBBOOO', 'OOOOOBOOO', 'OOOBOOOOO', 'OOOOBOBOO', 'BOOKTOOBB', 'OOOBOOOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
W,"['OOOOBBOOO', 'OOOOOBOOO', 'OOOBOOOOO', 'OOOOBOBOO', 'OOBKTOOBB', 'OOOBOOOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
B,"['OOOOBBOOO', 'OOOOOBOOO', 'OOOBOOOOO', 'OOOKBOBOO', 'OOBOTOOBB', 'OOOBOOOOB', 'OOOOOWOOO', 'OOOOOOOOO', 'OOOOOBOOO']",BW
W,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBBOOO', 'OBOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BOWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBBOOO', 'OBOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BOWOKWWBB', 'BOOWWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBBOOO', 'OBOOBOOOO', 'OOOWOOOOB', 'BOOOWOOOO', 'BOWOKWWBB', 'BOOWWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBBOOO', 'OBOOBOOOO', 'OOOWOOOOB', 'BOOWOOOOO', 'BOWOKWWBB', 'BOOWWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBBOOO', 'OBOOBOOOO', 'OOOWOOOOB', 'BOOWOOOOO', 'BOWOKWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBBOOO', 'OBOOBOOOO', 'OOOWKOOOB', 'BOOWOOOOO', 'BOWOTWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBOOOO', 'OBOOBOOOO', 'OOOWKOOOB', 'BOOWOBOOO', 'BOWOTWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBOOOO', 'OBOOBOOOO', 'OOOWOOOKB', 'BOOWOBOOO', 'BOWOTWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBOOOO', 'OBOOOOOBO', 'OOOWOOOKB', 'BOOWOBOOO', 'BOWOTWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBOOOO', 'OBOOOOOBO', 'OOOWOOKOB', 'BOOWOBOOO', 'BOWOTWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBOOOO', 'OBOOOOBOO', 'OOOWOOKOB', 'BOOWOBOOO', 'BOWOTWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBOOOO', 'OBOOOOBOO', 'OOOOOWKOB', 'BOOWOOOOO', 'BOWOTWWOB', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBOOOO', 'OBOOOOBOO', 'OOOOOWKOB', 'BOOWOOOOB', 'BOWOTWWOO', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBOOOO', 'OBOOOOBOO', 'OOOOOWKOB', 'BOOWOOWOB', 'BOWOTWOOO', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBOOOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWOB', 'BOWOTWOOO', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBOOOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWOB', 'BOWOTWOOO', 'BOOWOWOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBBOOOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWBO', 'BOWOTWOOO', 'BOOWOWOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBOOOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWBO', 'BOWOTWOOO', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBOOBOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWBO', 'BOWOTWOOO', 'BOOWWOOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBOOBOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWBO', 'BOWOTWOOO', 'BOOWOWOOB', 'OOOOWOOBO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOBOOBOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWBO', 'BOWOTWOOO', 'BOOWOWOOB', 'OOOOWOOBO', 'OOOOOBOOO', 'OOOBBBOOO']",WW
B,"['OOOBOOBOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWBO', 'BOWOTWOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOOOOBBOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOOWBO', 'BOWOTWOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOOOOBBOO', 'OBOOOOBOO', 'BOOOOWKOB', 'OOOWOWWBO', 'BOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOOOOBBOO', 'OBOOOOBOO', 'BOOOOWKOB', 'BOOWOWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOOOOBBOO', 'OBOOOOBOO', 'BOOWOOKOB', 'BOOWOWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOOOOOBOO', 'OBOOOOBOO', 'BOOWOBKOB', 'BOOWOWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOOOOOBOO', 'OBOOOOBOO', 'BOOOWOKOB', 'BOOWOWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['BOOOOOBOO', 'OBOOOOBOO', 'OOOOWOKOB', 'BOOWOWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['BOOOOOBOO', 'OBOOOOBOO', 'OOOOOOKOB', 'BOOWWWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['BOOOOOBOO', 'OBOOOOBOO', 'BOOOOOKOB', 'OOOWWWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['BOOOOOBOO', 'OBOOOOBOO', 'BOKOOOOOB', 'OOOWWWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOBOO', 'OBOOOOBOO', 'BOKOOOOOB', 'OOOWWWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOBOOOBOO', 'OBOOOOBOO', 'BOKWOOOOB', 'OOOOWWWBO', 'OOWOTOOOO', 'BOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOBOO', 'OBOOOOBOO', 'BOKWOOOOB', 'OOOOWWWBO', 'BOWOTOOOO', 'OOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOBOOOBOO', 'OBOOOOBOO', 'BOKOOOOWB', 'OOOOWWWOO', 'BOWOTOOOO', 'OOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOOWB', 'OOOOWWWOO', 'BOWOTOOOO', 'OOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'BOWOTOOOO', 'OOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'OBWOTOOOO', 'OOOWOWOOB', 'OOOOOWOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'OBWOTOOOO', 'OOOWOWOOB', 'OOOOWOOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'OOWOTOOOO', 'OBOWOWOOB', 'OOOOWOOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'OOOOTOOOO', 'OOWWOWOOB', 'OOOOWOOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'OOOOTOOOB', 'OOWWOWOOO', 'OOOOWOOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
B,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'OOOOTOOOB', 'OWOWOWOOO', 'OOOOWOOBO', 'OOOOOOOOO', 'OOOBBBOOO']",WW
W,"['OOBOOOBOO', 'OOOOOOBOO', 'BBKOOOWOB', 'OOOOWWWOO', 'OOOOTOOOB', 'OWOWOWOOO', 'OOOOWOOBO', 'OOOOOOOOO', 'OOBOBBOOO']",WW
B,"['OOBOOOBOO', 'OOOOOOBOO', 'BBOOOOWOB', 'OOOOWWWOO', 'OOOOTOOOB', 'OWOWOWOOO', 'OOKOWOOBO', 'OOOOOOOOO', 'OOBOBBOOO']",WW
W,"['OOOOOOBOO', 'OOOOOOBOO', 'BBOOOOWOB', 'OOOOWWWOO', 'OOOOTOOOB', 'OOBWOWOOO', 'OOKOWOOBO', 'OOOOOOOOO', 'OOBOBBOOO']",WW
W,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOWOWOOOB', 'BBOWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOWBWOOOB', 'BBOWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOWOWOOOB', 'BBOWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOWOWOOOB', 'BBOWKWWBB', 'OOOBWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BBOWKWWBB', 'OOWOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BBOWKWWBB', 'OOWOWBOOO', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BBOWKWOBB', 'OOWOWOWOO', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",WW
W,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BBOWKWOBB', 'OOWBWOWOO', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
B,"['OOOOBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BBOWKWOBB', 'OOWOWOWOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
W,"['OOOOBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWBOOB', 'BBOWKWOBB', 'OOWOWOWOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
B,"['OOOOBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOWOB', 'BBOWKWOBB', 'OOWOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
W,"['OOOOBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'OOOBWOWOB', 'BBOWKWOBB', 'OOWOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
B,"['OOOOBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'OOWOWOWOB', 'BBOWKWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
W,"['OOOOBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'OOWOWOWOB', 'BOBOKWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
B,"['OOOOBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'OOWOWOWOB', 'BOOKTWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
W,"['OOOOBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'OOWOWOWOB', 'OOBKTWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
B,"['OOOOBOOOO', 'OOOWBOOOO', 'OOOOOOOOO', 'OOWOWOWOB', 'OOBKTWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
W,"['OOBOOOOOO', 'OOOWBOOOO', 'OOOOOOOOO', 'OOWOWOWOB', 'OOBKTWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
B,"['OOBOOOOOO', 'OOOWBOOOO', 'OOOKOOOOO', 'OOWOWOWOB', 'OOBOTWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
W,"['OOOOOOOOO', 'OOOWBOOOO', 'OOBKOOOOO', 'OOOOWOWOB', 'OOBOTWOBB', 'OOOOWOOOO', 'OOOWOOOOO', 'OOOOBOOOO', 'OOOOBBOOO']",WW
W,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOOWOOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
B,"['OOOBBBOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
W,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOOOB', 'BBWWKWWBB', 'BOOOWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
B,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOOOB', 'BBWOKWWBB', 'BOOWWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
W,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOBOO', 'BBWOKWWBB', 'BOOWWOOOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
B,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOBOO', 'BBWOKWWBB', 'BOOWOOWOB', 'OOOOWOOOO', 'OOOOBOOOO', 'OOOBBBOOO']",BW
W,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOBOO', 'BBWOKWWBB', 'BOOWOOWOB', 'OOOOWBOOO', 'OOOOBOOOO', 'OOOBBOOOO']",BW
B,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOBOO', 'BBWOKWWBB', 'BOOWOOOOB', 'OOOOWOWOO', 'OOOOBOOOO', 'OOOBBOOOO']",BW
W,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOBOO', 'BBWOKWOBB', 'BOOWOOBOO', 'OOOOWOWOO', 'OOOOBOOOO', 'OOOBBOOOO']",BW
B,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOBOOO', 'BOOOWOBOO', 'BBWOKOWBB', 'BOOWOOOOO', 'OOOOWOWOO', 'OOOOBOOOO', 'OOOBBOOOO']",BW
W,"['OOOBBOOOO', 'OOOOBOOOO', 'OOOWOOOOO', 'BOOOWOBOO', 'BBWOKBOBB', 'BOOWOOOOO', 'OOOOWOWOO', 'OOOOBOOOO', 'OOOBBOOOO']",BW
